SYMBOL	GSM1480291_LVirgin	GSM1480292_LVirgin	GSM1480293_LPregnant	GSM1480294_LPregnant	GSM1480295_LLactate	GSM1480296_LLactate	GSM1480297_BVirgin	GSM1480298_BVirgin	GSM1480299_BPregnant	GSM1480300_BPregnant	GSM1480301_BLactate	GSM1480302_BLactate
Zfp41	66	55	14	7	14	9	38	33	41	48	44	62
Zfp408	713	814	428	362	154	153	630	576	563	505	973	1076
Zfp407	578	640	628	484	400	454	638	510	591	480	461	489
Zfp40	115	111	62	86	40	38	87	58	69	44	50	72
Zfp398	161	144	73	66	72	98	87	73	56	64	71	74
Zfp397	759	710	495	451	350	403	539	549	526	456	531	468
Zfp395	1191	1202	511	436	461	425	945	838	706	580	655	732
Zfp39	59	56	17	12	30	34	68	48	65	34	29	29
Zfp389	3	3	1	2	5	1	1	2	2	1	1	3
Zfp386	329	315	306	294	163	143	174	131	139	157	158	177
Zfp385c	0	1	0	0	0	0	5	7	1	6	3	2
Zfp385b	0	4	3	3	1	1	2	0	6	7	4	2
Zfp385a	236	250	16	27	67	64	768	571	565	476	732	733
Zfp384	1203	1367	1067	1046	590	555	1403	1230	1158	1066	916	962
Zfp383	67	42	23	32	22	20	116	82	57	49	77	104
Zfp382	44	40	11	3	2	1	61	69	56	51	58	46
Zfp37	83	57	7	4	5	2	145	107	81	84	95	91
Zfp36l3	0	0	0	0	0	0	0	0	0	0	0	0
